Compound	HMDB	Kegg
4-NITROANILINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02126</a>
CPD-20845		
CPD-12513		
CPD-10422		
CPD-18356		
CPD-10016	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15002</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01375</a>
CPD-21354		
CPD-19179		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21310</a>
CPD-15403		
CPD-13099		
CPD-13440		
CPD-19947		
CPD-24959		
CPD-24294		
CPD-15542		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20689</a>
CAMP	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00058</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00575</a>
CPD-12124		
CALCIDIOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03550</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01561</a>
CPD-15923	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11750</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03372</a>
CPD-8348	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB10388</a>	
CPD-8968		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18397</a>
CPD-13291		
CPD-26028		
CPD-1076	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01101</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02519</a>
CPD-21303		
S-781314-TETRAHYDROPROTOBERBERINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05204</a>
CPD-1771		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04390</a>
N-ACETYL-D-TRYPTOPHAN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03137</a>
CPD-8951		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D01186</a>
CPD-16908		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20854</a>
CPD-19235		
DCMP	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01202</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00239</a>
CPD-4184	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62394</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05110</a>
CPD-9850		
CPD-3607		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D09924</a>
CPD-23583		
CPD-25399		
CPD-17713		
CPD-14836		
CPD-6993		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16404</a>
CPD-10740		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18059</a>
DISULFIRAM	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14960</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01692</a>
CPD-15645		
