Compound	HMDB	Kegg
CPD-14239		
CPD-23636		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08302</a>
CPD-22666		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11310</a>
CPD-16620		
CPD-24197		
CPD-12914		
CPD-3186	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01010</a>	
THIDIAZURON		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18812</a>
CPD-14625		
CPD-4616	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12213</a>	
CPD-26542		
CPD1R65-6		
CPD66-73		
CPD-13810	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14916</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13173</a>
5-PHOSPHONOOXY-L-LYSINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB59600</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03366</a>
CPD-26552		
CPD0-2223	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11129</a>	
2-AMINO-47-DIHYDROXYPTERIDINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00704</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03975</a>
CPD1F-132		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11874</a>
CPD-21853		
CPD0-2464		
CPD0-1116		
CPD-15612		
CPD-7799		
CPD-7249		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15495</a>
CPD-4681		
CPD-24188		
CPD-19983		
CPD-18495		
HOMOCYSTINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00575</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01817</a>
CPD-23750		
CPD-24990		
CPD-11211	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14651</a>	
CPD-456		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04641</a>
CPD-24946		
CPD-7138		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08639</a>
CPD-24664		
CPD-21940		
CPD-17575		
CPD-17837		
CPD-8758		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19742</a>
CPD-26449		
CPD-23924		
CPD-26337		
CPD-25890		
CPD-21453		
CPD-21440		
CPD-18103	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02358</a>	
CPD0-2577		
CPD-12812		
CPD-111		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02923</a>
CPD-13832		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11996</a>
CPD-13957		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12444</a>
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04573</a>
CPD-904		
CPD-17539		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20962</a>
CPD-7905		
CPD-23459		
CPD-16683		
CPD-9012		
CPD-9969		
CPD-26285		
CPD-3484		
CPD-277	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60371</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02514</a>
CPD-17970		
CPD-17651		
CPD-15290		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20496</a>
CPD-19481		
CPD-19538		
CPD-8768	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41633</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11392</a>
CPD-8718	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15360</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D00491</a>
CPD-9539		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01562</a>
MYO-INOSITOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00211</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00137</a>
CPD-22095		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08817</a>
CPD-13430		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20902</a>
16-ALPHA-HYDROXYSTEROID		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01090</a>
CPD0-1604		
CPD-16822	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00860</a>	
CPD-25673		
CPD0-2177	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11473</a>	
CPD-13162		
SALICYLALDEHYDE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34170</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06202</a>
CPD-9011		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19785</a>
CPD-15353		
CPD-18106		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14407</a>
CPD-13835		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11999</a>
CPD-17365	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62234</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16173</a>
CPD-2041	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03640</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02486</a>
CPD-20950		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11118</a>
CPD-17776		
CPD-15565		
CPD-5201		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08793</a>
CPD-26221		
CHLORAMPHENICOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14589</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00918</a>
CPDN-385		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06203</a>
CPD-318		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01041</a>
CPD-19423		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21637</a>
CPD-479	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01553</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01180</a>
CPD-4261	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04472</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09844</a>
NMNH		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21113</a>
8-oxo-dADP		
CPD-17216	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB35091</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20894</a>
CPD-18199		
CPD-19224		
CPD-345	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00400</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01292</a>
SULFO-CYSTEINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00731</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05824</a>
CPD-26458		
CPD-14088		
CPD-9618		
CPD-18306	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11725</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16199</a>
CPD-13920		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20146</a>
CPD-22023		
CPD-7607		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19152</a>
CPD-825		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02647</a>
CPD-24274		
X-DGRO-DGAL-NON-2:6_1:A_2:KETO_3:D		
CPD-15933		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15684</a>
4-METHYLPENTANAL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01318</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02373</a>
CPD-14018	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60311</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16165</a>
CPD-16855		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11546</a>
CPD-26135		
S-BENZYLSUCCINYL-COA		
CPD-21687		
CPD-10230		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12108</a>
CPD-24106		
N-HYDROXYMETHYLUREA		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06384</a>
CPD-304	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02038</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02728</a>
4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08422</a>
CPD-11743		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17948</a>
CPD-12366		
CPD-9392		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20612</a>
CPD-14891		
CPD-12944		
CPD-34	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38111</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02549</a>
CPD-20340		
ALPHA-METHYL-TYROSINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14903</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07921</a>
CPD-20991		
MGCL2		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07755</a>
CPD-18782		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10607</a>
CPD-7659	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12128</a>	
CPD-23523		
CPD-845		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19446</a>
CPD-7914		
CPD-9041		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11540</a>
CPD0-1054		
CPD-21289		
CPD0-1966		
CPD-24611		
SALICYLALDOXIME		
CPD0-1558		
D-GALACTOSYLAMINE		
CPD-14927		
CPD-22581		
CPD-20343		
CPD0-1717		
CPD-25445		
PORPHYRIN-RING		
CPD-15210		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20514</a>
CPD-23432		
CPD-17454		
CPD-209	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04207</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04700</a>
TAXA-42011-DIEN-5A13A-DIOL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11897</a>
CPD-8491	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB59835</a>	
CPD-20586		
CPD-13142		
CPD0-1578		
2-METHYL-6-SOLANYL-14-BENZOQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17570</a>
CPD-15859		
CPD0-882		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19769</a>
CPD-26409		
QUINOLINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33731</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06413</a>
CPD-7703		
OXAMATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01444</a>
CPD-22346		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18395</a>
CPD-8825		
CPD-578		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01010</a>
CPD-26546		
CPD-24683		
CPD-22551		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10984</a>
CPD-18587		
CPD-25308		
CPD-17455		
S-ADENOSYLMETHIONINAMINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00988</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01137</a>
CPD-18094	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB37980</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20493</a>
CPD-1541		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01818</a>
CPD-14692		
CPD-26313		
CPD-14593		
CPD-6228		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11858</a>
CPD-13215		
CPD-10757		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09631</a>
CPD-17164		
SEPO3	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03840</a>	
CPD-12031		
CPD-8160		
CPD-20990		
CPD-16785		
CPD-11231		
CPD-12968		
ADENOSYLCOBINAMIDE-GDP	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12185</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06510</a>
CPD-14029		
CPD-17309		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15860</a>
ADIPATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00448</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06104</a>
CPD-25542		
CPD-18006		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22059</a>
CPD0-1293		
MOENOMYCIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06765</a>
MORPHINONE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03563</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01735</a>
CPD-24708	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB0002232</a>	
CPD-4580	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01203</a>	
CPDQT-522		
CPD-12367		
CPD-25885		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20927</a>
CPD-10100		
CPD-21007		
CPD-17570		
CPD-26090		
CPD-8132	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33746</a>	
CPD-17943		
CPD-20138		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21695</a>
CPD-15848		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20710</a>
CPD-12520		
CPD0-1581	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14583</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01965</a>
CPD-14553	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00302</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00052</a>
BRIJ97		
CPD-15924		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03630</a>
CPD-16964		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21107</a>
CPD0-2275		
CPD-8495		
CPD-15417	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15185</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05080</a>
CPD-26645		
CPD-4142		
CPD-20156		
CPD-26658		
CPD-16464		
CPD-11429	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14690</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07569</a>
SUC	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00254</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00042</a>
CPD-21390		
CPD-22372		
CPD-25332		
CPD-25919		
CPD-12177		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21030</a>
CPD0-2367	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60396</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16633</a>
CPD-18196		
CPD-12741		
CPD-22401		
CPD-15970	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60467</a>	
CPD-17547		
CPD-17791		
CPD-12672		
CPD-17325		
CPD-14180		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20322</a>
CPD-8223	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29570</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D03789</a>
CPD-18365		
CPD-24952		
CPD-26513		
KIEVITONE-CPD	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34213</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01590</a>
CPD-9894		
CPD-24009		
CPD-25257		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08410</a>
CPD-8703		
CPD-17628		
CPD-12720		
CPD-9833		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16846</a>
CPD-8835		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20943</a>
CPD-25514		
CPD-7415		
CPD-18596		
CPD-21020		
CPD-12557	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00853</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05021</a>
CPD-13955	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15682</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12389</a>
CPD-8450		
CPD-9413		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19678</a>
3-4-DIHYDROXYBENZOATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01856</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00230</a>
CPD-13538	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06217</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16682</a>
CPD-17627		
CPD-21160		
CPD-11241		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06118</a>
CPD-9418		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17355</a>
CPD-21388		
CPD-24649		
CPD-21470		
CPD-26070		
CPD-26233		
CPD0-1357		
CPD-26447		
CPD0-1939		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11189</a>
CPD-25440		
CPD-23422		
CPD66-108		
N3-OXALYL-L-23-DIAMINOPROPANOATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29402</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04209</a>
CPD-526		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03387</a>
CPD-12541		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20328</a>
CPD-16684		
CPD-21967		
CPD-15260	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30203</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20630</a>
CPD-19353		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15482</a>
CPD-23873		
CPD-12572		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10193</a>
CPD-19259	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15152</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07225</a>
CPD-631		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03354</a>
CPD-18641		
ACETYLMALTOSE		
CPD-22272		
CPD-18737	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33939</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13732</a>
CPD-26530		
ACRYLATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31647</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00511</a>
CPD-18206		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D06637</a>
CPDQT-406		
METOH	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01875</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00132</a>
CPD-12950		
CPD-24128		
N1-METHYLADENINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11599</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02216</a>
S-PRENYL-L-CYSTEINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12286</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06751</a>
N2-ACETYLGENTAMICIN-C1A		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03524</a>
CPD-24549		
CPD-23997		
CPD-18355		
CPD-18585		
25-DICHLOROPHENOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41800</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06602</a>
CPD-22980		
--MENTHOL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03352</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00400</a>
VANILLIN	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12308</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00755</a>
DEACETYLIPECOSIDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07307</a>
CPD-19408		
CPD-15264		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20513</a>
CPD-5683		
CPD-17444		
CPD-25186		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D01183</a>
P-CHLOROPHENYLALANINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D04143</a>
CPD-16414		
CPD-16969		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22146</a>
N-ACETYL-GLUTAMYL-P	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06456</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04133</a>
CPD-19996		
CPD-20745		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19954</a>
CPD-16561		
CPD-17751		
CPD-22867		
CPD-21895		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11225</a>
CPD-9646		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17556</a>
CPD-18167		
CPD-15497		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16495</a>
CPD-11559		
CPD-16579		
CPD-23007		
CPD-25989		
CPD-686		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06408</a>
CPD-19170		
CPD-8704		
CPD-25144		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D08190</a>
CPD0-1428		
CPD-11953		
CPD-20967		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02596</a>
CPD-14151		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01014</a>
CPD-24648		
CPD-15614		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03348</a>
CPD2B4Q-16		
CPD-22921		
CPD-18833	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB32133</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13624</a>
CPD-11831	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00913</a>	
CPD-17809		
CPD-14235		
CPD-20811		
CPD-7201		
CPD-22093		
CPD-481	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06482</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03640</a>
CPD-8240		
CPD-16183		
CPD-18420		
CPD-21004		
CPD-8150		
CPD-15281		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17759</a>
CPD-13028		
CPD-10854		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18302</a>
CPD-14545		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14531</a>
CPD-17680	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33952</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08305</a>
CPD-13622		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20397</a>
CPD-18711		
CPD-11962	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01518</a>	
CPD-9929		
CPD-16853		
CPD-21344		
CPD-12170		
CPD-14047		
CPD-16650		
CPD-20183		
CPD-25869	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB0002222</a>	
CPD-9195	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14559</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06574</a>
CPD-20881		
CPD-18686		
GLYCYLGLYCINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11733</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02037</a>
CPD-18798	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62742</a>	
6-HYDROXY-3-HEXENOYL-COA		
CPD-25873		
CPD-5761	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41264</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09870</a>
CPD-11594		
CPD-12296		
CPD-12024	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04113</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05689</a>
CPD-10146		
CPD-12600	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04666</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13856</a>
EPYRIDALDOX		
CPD-16392		
CPD-22040		
CPD66-40	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB11760</a>	
CPD-19192	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41802</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02227</a>
CPD0-2049		
2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04522</a>
CPD-10118		
CPD-14227	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31082</a>	
CPD-16520		
CPD-477	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41496</a>	
CPD-21509		
CPD-25970		
CPD-24238		
TRANS-2-HEXENAL	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31496</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08497</a>
CPD0-1457		
CPD0-1633		
CPD-15486		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10046</a>
CPD-21510		
CPD-23488		
PTERIDINE-RING		
CPD-15984		
CPD-16368		
CPD-7783		
CPD-7610	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34648</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08980</a>
CPD-21663		
CPD-9527		
CPD-10017		
CPD-17169		
CPD-19199		
CPD-9223		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13110</a>
CPD-20793		
CPD-19691		
CPD-9052	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29599</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12518</a>
CPD-4122	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33855</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16223</a>
CPD-19594		
CPD-19926		
CPD-521		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03716</a>
CPD-15430		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05845</a>
CPD-19640		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D03945</a>
CPD-18475		
CPD-21596		
CPD-22578		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08866</a>
CPD-12874		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20981</a>
CPD-17856		
CPD-25378		
CPD-25775		
CPD-398		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03914</a>
CPD-9037	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02274</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06453</a>
CPD-2042		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02345</a>
CPD-19895		
CPD-9029		
CPD-18938		
CPD-23844		
CPD-9470		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08950</a>
