Compound	HMDB	Kegg
CPD-20250		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21708'>C21708</a>
CPD-16950		
FADH		
CPD-18768		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12111'>C12111</a>
CPD-20156		
CPD-19598		
CPD-318		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01041'>C01041</a>
CPD-18769		
CPD-20099		
CPD0-2677		
CPD-18517		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21421'>C21421</a>
CPD-20083		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21681'>C21681</a>
N-HYDROXY-2-ACETAMIDOFLUORENE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03954'>C03954</a>
CPD-12586		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16503'>C16503</a>
CPD-13347		
CPD-18503		
CPD-22709		
CPD-16700		
CPD-2542		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05375'>C05375</a>
CPD-18075		
CPD-13871		
CPD-13153		
CPD-21305		
CPD-13270		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20479'>C20479</a>
CPD-7071		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09756'>C09756</a>
CPD-12128		
CPD-11994		
CPD-9937	<a href='http://www.hmdb.ca/metabolites/HMDB32562'>HMDB32562</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11016'>C11016</a>
CPD-12125		
CPD-11414	<a href='http://www.hmdb.ca/metabolites/HMDB36736'>HMDB36736</a>	
ALPHA-D-GLUCOSYLPOLYGLYCEROL-PHOSPHATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04508'>C04508</a>
REDUCED-MENAQUINONE		
--beta-santalene	<a href='http://www.hmdb.ca/metabolites/HMDB36364'>HMDB36364</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09718'>C09718</a>
CPD-16885		
CPD-12129		
NITROUS-OXIDE	<a href='http://www.hmdb.ca/metabolites/HMDB35807'>HMDB35807</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00887'>C00887</a>
CPD-9413		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19678'>C19678</a>
CPD-19537		
CPD-12126		
EDTA	<a href='http://www.hmdb.ca/metabolites/HMDB15109'>HMDB15109</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00284'>C00284</a>
CPD-8802		
CPD0-2531		
CPD-12130		
CPD-18914		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21396'>C21396</a>
CPD-8777		
N-ACETYLARYLAMINE	<a href='http://www.hmdb.ca/metabolites/HMDB01250'>HMDB01250</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07565'>C07565</a>
CPD-12127		
SULFUR-DIOXIDE	<a href='http://www.hmdb.ca/metabolites/HMDB34834'>HMDB34834</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09306'>C09306</a>
CPD-8740		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20274'>C20274</a>
CPD-22530		
CPD-12124		
NITROGEN-MOLECULE	<a href='http://www.hmdb.ca/metabolites/HMDB01371'>HMDB01371</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00697'>C00697</a>
CPD-8241		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19908'>C19908</a>
CPD-24774		
CPD-18915		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21397'>C21397</a>
CPD-22334		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C22208'>C22208</a>
CPD-13044		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20781'>C20781</a>
NITROGEN-OXIDE		
CPD-20929		
CPD-7018		
CPD-12831	<a href='http://www.hmdb.ca/metabolites/HMDB60502'>HMDB60502</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03313'>C03313</a>
CPD0-2459	<a href='http://www.hmdb.ca/metabolites/HMDB32538'>HMDB32538</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06771'>C06771</a>
CPD-20214		
CPD-983		
CPD-15301		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20623'>C20623</a>
CPD-20153		
ACIFLUORFEN	<a href='http://www.hmdb.ca/metabolites/HMDB37112'>HMDB37112</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C22041'>C22041</a>
CPD-24761		
CPD-20096		
CPD-16697		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21144'>C21144</a>
CPD-21052		
CPD-20076		
CPD-19441		
CPD0-1149		
CPD-18428		
CPD0-2468		
CPD-14081		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16152'>C16152</a>
CPD-14802	<a href='http://www.hmdb.ca/metabolites/HMDB30016'>HMDB30016</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09743'>C09743</a>
MORPHOLINE	<a href='http://www.hmdb.ca/metabolites/HMDB31581'>HMDB31581</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14452'>C14452</a>
CPD-22339		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21103'>C21103</a>
CPD-8829		
CPD-13863		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20181'>C20181</a>
CPD-22351		
CPD-19761		
CPD-12792		
CPD-11983		
CPD-24377		
CPD-12830		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21084'>C21084</a>
CPD-24560		
CPD-11393		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20179'>C20179</a>
CPD-12836		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20643'>C20643</a>
MENADIOL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07126'>C07126</a>
CPD-10425		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07574'>C07574</a>
TRICHODIENE-CPD		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01860'>C01860</a>
CPD-6968		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18585'>C18585</a>
CPD-9320		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18132'>C18132</a>
CPD-24330		
CPD-9410	<a href='http://www.hmdb.ca/metabolites/HMDB36688'>HMDB36688</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09382'>C09382</a>
CPD-9673	<a href='http://www.hmdb.ca/metabolites/HMDB41796'>HMDB41796</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07490'>C07490</a>
CPD-23347		
CPD-22297		
CPD-8799		
8-APO-BETA-CAROTENOL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06733'>C06733</a>
CPD-19763		
CPD0-1625		
CPD-8763		
CPD-16509		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20809'>C20809</a>
MPBQ	<a href='http://www.hmdb.ca/metabolites/HMDB38959'>HMDB38959</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15882'>C15882</a>
CPD-14082		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20381'>C20381</a>
CPD-8737	<a href='http://www.hmdb.ca/metabolites/HMDB36154'>HMDB36154</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19748'>C19748</a>
CPD-19422		
CPD-11712		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20737'>C20737</a>
CPD-9562	<a href='http://www.hmdb.ca/metabolites/HMDB34271'>HMDB34271</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07606'>C07606</a>
CPD-8238		
CPD0-2358		
DMPBQ		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15883'>C15883</a>
CPD-12795		
CPD-692		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13455'>C13455</a>
MALEIMIDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07272'>C07272</a>
26-DICHLORO-P-HYDROQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07097'>C07097</a>
CPD-7840		
CPD-21876		
CPD-22261		
CPD-7249		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15495'>C15495</a>
CPD-10474		
CPD-20913		
CPD-242	<a href='http://www.hmdb.ca/metabolites/HMDB29657'>HMDB29657</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13635'>C13635</a>
2-METHYL-6-SOLANYL-14-BENZOQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17570'>C17570</a>
CPD-24333		
CPD-20168		
CPD-12651		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04783'>C04783</a>
CPD-20978		
CPD-23205		
CPD-20150		
CPD-6942		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13688'>C13688</a>
CPD-15834		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20738'>C20738</a>
CPD-21051		
CPD-20147		
CPD-9628		
TETRACHLOROHYDROQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03434'>C03434</a>
CPD0-1147		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19459'>C19459</a>
CPD-20093		
6-THIO-OCTANOATE		
CPD-11714		
CPD-12812		
CPD-18925		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17914'>C17914</a>
CPD-16169		
HYDROQUINONE	<a href='http://www.hmdb.ca/metabolites/HMDB02434'>HMDB02434</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00530'>C00530</a>
CPD-8129		
CPD-18383		
CPD-19364		
CHLOROHYDROQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06601'>C06601</a>
CPD-10525		
CPD-14798		
CPD0-2276		
CPD-9319		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10793'>C10793</a>
CPD-24351		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17084'>C17084</a>
CPD-13858		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20163'>C20163</a>
LIMONIN	<a href='http://www.hmdb.ca/metabolites/HMDB35921'>HMDB35921</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03514'>C03514</a>
236-TRICHLOROHYDROQUINONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07099'>C07099</a>
4-DIMETHYLAMINOPHENYLAZOBENZENE	<a href='http://www.hmdb.ca/metabolites/HMDB32141'>HMDB32141</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03764'>C03764</a>
CPD-13618		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20404'>C20404</a>
CPD-22071		
CPD-23206		
CPD-11979		
CPD-23996		
CPD-19605		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06516'>C06516</a>
CPD-11293		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19760'>C19760</a>
CPD-12510		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11374'>C11374</a>
CPD-15799		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05317'>C05317</a>
CPD-11233		
CPD4FS-8		
CPD-669		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01513'>C01513</a>
CPD-22151		
CPD-8849		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19735'>C19735</a>
CPD-9523		
CPD-22152		
CPD-8796		
512-DIHYDROXANTHOMMATIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03476'>C03476</a>
CPD-17083		
CPD-8753		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17120'>C17120</a>
CPD0-2117	<a href='http://www.hmdb.ca/metabolites/HMDB03945'>HMDB03945</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05272'>C05272</a>
CPD-15928		
CPD-20030		
CPD-8732		
CPD-19170		
CPD-19271		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21436'>C21436</a>
CPD-8235		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19740'>C19740</a>
CPD-19161		
CPD0-2194		
CPD-4744		
CPD-17368	<a href='http://www.hmdb.ca/metabolites/HMDB60202'>HMDB60202</a>	
L-ARABINO-1-5-LACTONE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05405'>C05405</a>
CPD-21666		
CPD-15370		
CPD-21874		
CPD-20910		
CPD-19172		
CPD-23652		
CPD-20164		
CPD-19162		
CPD-12422		
CPD-20144		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09687'>C09687</a>
CPD-17403		
CPD-65	<a href='http://www.hmdb.ca/metabolites/HMDB34273'>HMDB34273</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02660'>C02660</a>
CPD-106		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03198'>C03198</a>
CPD-20090		
CPD-15568	<a href='http://www.hmdb.ca/metabolites/HMDB03946'>HMDB03946</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05273'>C05273</a>
CPD-9441		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18053'>C18053</a>
CPD-105		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05343'>C05343</a>
CPD-18597		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09716'>C09716</a>
CPD-10262	<a href='http://www.hmdb.ca/metabolites/HMDB06529'>HMDB06529</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16218'>C16218</a>
5-METHYLTHIOFORMYCIN		
R-12-EPOXYPROPANE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11506'>C11506</a>
CPD-18146		
CPD-22045		
CPD-15891		
S-12-EPOXYPROPANE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11507'>C11507</a>
CPD-14510		
CPD-19163		
CPD-19117		
CPD-22626		
CPD-13785		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19973'>C19973</a>
CPD-17813		
CPD0-2096		
CPD-10815	<a href='http://www.hmdb.ca/metabolites/HMDB61711'>HMDB61711</a>	
CPD-13497	<a href='http://www.hmdb.ca/metabolites/HMDB36716'>HMDB36716</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09720'>C09720</a>
CPD-17348		
ISOPHENOXAZINE	<a href='http://www.hmdb.ca/metabolites/HMDB30483'>HMDB30483</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02161'>C02161</a>
CPD-16878		
CPD-12888	<a href='http://www.hmdb.ca/metabolites/HMDB36444'>HMDB36444</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20174'>C20174</a>
CPD-14280	<a href='http://www.hmdb.ca/metabolites/HMDB62227'>HMDB62227</a>	
CPD-21795		
CPD-8978	<a href='http://www.hmdb.ca/metabolites/HMDB12228'>HMDB12228</a>	
CPD-11442		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09622'>C09622</a>
CPD-23569		
INDOLEYL-CPD	<a href='http://www.hmdb.ca/metabolites/HMDB06524'>HMDB06524</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02938'>C02938</a>
CPD-10758		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16814'>C16814</a>
T2-DECENOYL-COA	<a href='http://www.hmdb.ca/metabolites/HMDB03948'>HMDB03948</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05275'>C05275</a>
CPD-12224		
CPD-22482		
CPD-9529		
CPD-20685		
CPD-620	<a href='http://www.hmdb.ca/metabolites/HMDB59758'>HMDB59758</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02488'>C02488</a>
CPD-14596	<a href='http://www.hmdb.ca/metabolites/HMDB38482'>HMDB38482</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08336'>C08336</a>
CPD-8811		
CPD-23631		
CPD-94		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10448'>C10448</a>
BETA-AMINOPROPIONITRILE	<a href='http://www.hmdb.ca/metabolites/HMDB04101'>HMDB04101</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05670'>C05670</a>
CPD-8793		
CPD-17386		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16374'>C16374</a>
5-AZAOROTATE		
CPD0-1336		
CPD-8750		
CPD-15524		
CPD-22479		
CPD-8248		
CPD-19037		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21291'>C21291</a>
CPD-13584	<a href='http://www.hmdb.ca/metabolites/HMDB02084'>HMDB02084</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00177'>C00177</a>
CPD-8232	<a href='http://www.hmdb.ca/metabolites/HMDB35816'>HMDB35816</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17094'>C17094</a>
CPD0-2069	<a href='http://www.hmdb.ca/metabolites/HMDB15244'>HMDB15244</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06894'>C06894</a>
35-DIBROMO-4-HYDROXYBENZONITRILE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04178'>C04178</a>
CPD-4741		
HYPOTAUROCYAMINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02419'>C02419</a>
CPD-8863		
CPD-21663		
CPD-21702		
CPD-22475		
CPD-20327		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21715'>C21715</a>
CPD-23472		
CPD-13095		
CPD-20161		
CPD-23461		
CPD-7662	<a href='http://www.hmdb.ca/metabolites/HMDB12226'>HMDB12226</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07943'>C07943</a>
CPD-20138		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21695'>C21695</a>
CPD-12135		
CPD-21441		
CPD-20087		
CPD-595		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03047'>C03047</a>
CPD-12635		
CPD-18507		
CPD-9291	<a href='http://www.hmdb.ca/metabolites/HMDB04620'>HMDB04620</a>	
CPD-22486		
CPD-16771		
4-SULFOBENZALDEHYDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06679'>C06679</a>
CPD-20788		
CPD-14374		
CPD-15376		
CPD-13811		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15772'>C15772</a>
CPD-1103	<a href='http://www.hmdb.ca/metabolites/HMDB30704'>HMDB30704</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01855'>C01855</a>
CPD-13396		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20811'>C20811</a>
CPD-18987		
CPD-6405		
LINAMARIN	<a href='http://www.hmdb.ca/metabolites/HMDB33699'>HMDB33699</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01594'>C01594</a>
CPD-12880		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19741'>C19741</a>
CPD0-2019		
CPD-6366	<a href='http://www.hmdb.ca/metabolites/HMDB34864'>HMDB34864</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04720'>C04720</a>
CPD-22483		
CPD-11430		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09663'>C09663</a>
HOP-2229-ENE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06310'>C06310</a>
CPD-13812		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18062'>C18062</a>
CPD-15065		
CPD-10708		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19754'>C19754</a>
CPD-21555		
CPD-6367		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15771'>C15771</a>
CPD-10275		
CPD-9526	<a href='http://www.hmdb.ca/metabolites/HMDB40723'>HMDB40723</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07667'>C07667</a>
XANTHINE	<a href='http://www.hmdb.ca/metabolites/HMDB00292'>HMDB00292</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00385'>C00385</a>
CPD-6364	<a href='http://www.hmdb.ca/metabolites/HMDB38318'>HMDB38318</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15769'>C15769</a>
CPD0-1399		
CPD-8807		
CPD-23399		
CPD-6365	<a href='http://www.hmdb.ca/metabolites/HMDB33733'>HMDB33733</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15770'>C15770</a>
CPD-22480		
CPD-8790		
CPD-11953		
CPD-341	<a href='http://www.hmdb.ca/metabolites/HMDB03447'>HMDB03447</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00955'>C00955</a>
CPD-14589	<a href='http://www.hmdb.ca/metabolites/HMDB30934'>HMDB30934</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08342'>C08342</a>
CPD-8747		
CPD-5743		
CPD-19401	<a href='http://www.hmdb.ca/metabolites/HMDB02285'>HMDB02285</a>	
7-CYANO-7-DEAZAGUANINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15996'>C15996</a>
CPD-8245		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09635'>C09635</a>
CPD-9174		
CPD-11578		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21283'>C21283</a>
CPD-8864		
CPD-7561		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09538'>C09538</a>
4-HYDROXYCYCLOHEXANECARBOXYLATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04404'>C04404</a>
3-INDOLYLGLYCOLALDEHYDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03230'>C03230</a>
CPD-22477		
CPD-4664		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19708'>C19708</a>
CPD-15156		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01624'>C01624</a>
CPD-23661		
CPD-13097		
CPD-21653		
CPD-18789		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21219'>C21219</a>
CPD-18141		
CPD-8860		
CPD-20252		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21710'>C21710</a>
CPD0-1919		
CPD-12373	<a href='http://www.hmdb.ca/metabolites/HMDB06779'>HMDB06779</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05579'>C05579</a>
CPD-21649		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C22016'>C22016</a>
CPD-20157		
GLYCINAMIDE	<a href='http://www.hmdb.ca/metabolites/HMDB62472'>HMDB62472</a>	
INDOLE-3-GLYOXYLATE		
CPD-12636		
CPD-20134		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21689'>C21689</a>
CPD-21514		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06213'>C06213</a>
CPD-23655		
CPD-553	<a href='http://www.hmdb.ca/metabolites/HMDB34934'>HMDB34934</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00844'>C00844</a>
CPD-20084		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21684'>C21684</a>
UDP-L-ARA4-FORMYL-N		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16154'>C16154</a>
CPD-18138		
CPD-20789		
CPD-18504		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19952'>C19952</a>
CPD-23267		
CPD-12021	<a href='http://www.hmdb.ca/metabolites/HMDB01896'>HMDB01896</a>	
CPD-1125	<a href='http://www.hmdb.ca/metabolites/HMDB35030'>HMDB35030</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08325'>C08325</a>
CPD-16701		
CPD-11771		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08296'>C08296</a>
TRYPTAMINE	<a href='http://www.hmdb.ca/metabolites/HMDB00303'>HMDB00303</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00398'>C00398</a>
R-VICIANIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01870'>C01870</a>
CPD-13874		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20178'>C20178</a>
CPD-5583	<a href='http://www.hmdb.ca/metabolites/HMDB01894'>HMDB01894</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11045'>C11045</a>
CPD-8915	<a href='http://www.hmdb.ca/metabolites/HMDB35762'>HMDB35762</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08304'>C08304</a>
CPD-22484		
CPD-13625		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20400'>C20400</a>
CPD-9062		
CPD-12018	<a href='http://www.hmdb.ca/metabolites/HMDB04095'>HMDB04095</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05659'>C05659</a>
CPD-15487	<a href='http://www.hmdb.ca/metabolites/HMDB32287'>HMDB32287</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01913'>C01913</a>
CPD-13271		
4-ACETAMIDOBUTANOYL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03357'>C03357</a>
6-METHYL-INDOLE		
CPD-10277	<a href='http://www.hmdb.ca/metabolites/HMDB33865'>HMDB33865</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08334'>C08334</a>
CPD-12459		
CPD-15093		
N-ACETYL-5-METHOXY-TRYPTAMINE	<a href='http://www.hmdb.ca/metabolites/HMDB01389'>HMDB01389</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01598'>C01598</a>
HCN	<a href='http://www.hmdb.ca/metabolites/HMDB60292'>HMDB60292</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01326'>C01326</a>
CPD-11415		
CPD-18767		
CPD-8652	<a href='http://www.hmdb.ca/metabolites/HMDB04067'>HMDB04067</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05604'>C05604</a>
CPD-22481		
--epi-beta-santalene		
CPD0-1809		
CPD-21174		
CPD-14594		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08333'>C08333</a>
CPD-9444		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16826'>C16826</a>
FLUORO-CITRATE	<a href='http://www.hmdb.ca/metabolites/HMDB31255'>HMDB31255</a>	
CPD-12014	<a href='http://www.hmdb.ca/metabolites/HMDB04081'>HMDB04081</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05643'>C05643</a>
ACRYLONITRILE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01998'>C01998</a>
CPD-8803		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09648'>C09648</a>
CPD-21428		
5-HYDROXYINDOLE_ACETALDEHYDE	<a href='http://www.hmdb.ca/metabolites/HMDB04073'>HMDB04073</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05634'>C05634</a>
CPD-8968		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18397'>C18397</a>
CPD-8787	<a href='http://www.hmdb.ca/metabolites/HMDB38207'>HMDB38207</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20173'>C20173</a>
THIOMORPHOLINE-3-CARBOXYLATE	<a href='http://www.hmdb.ca/metabolites/HMDB59611'>HMDB59611</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03901'>C03901</a>
INDOXYL	<a href='http://www.hmdb.ca/metabolites/HMDB04094'>HMDB04094</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05658'>C05658</a>
CPD-22478		
CPD-8744	<a href='http://www.hmdb.ca/metabolites/HMDB36575'>HMDB36575</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09672'>C09672</a>
CPD-22920		
DIHYDROXYINDOLE	<a href='http://www.hmdb.ca/metabolites/HMDB04058'>HMDB04058</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05578'>C05578</a>
CPD-13099		
