Compound	HMDB	Kegg
CPD-821	<a href='http://www.hmdb.ca/metabolites/HMDB04827'>HMDB04827</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C10172'>C10172</a>
CPD-15582		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09814'>C09814</a>
CPD0-1636		
CPD-12599		
CPD-19754		
4-CHLOROPHENYLACETONITRILE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03679'>C03679</a>
CPD0-1379		
CPD-20968		
CPD-17184	<a href='http://www.hmdb.ca/metabolites/HMDB29409'>HMDB29409</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21513'>C21513</a>
CPD-19504		
CPD0-1351		
CPD-17753		
CPD0-1236		
CPD-12889		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00650'>C00650</a>
S-ADENOSYLMETHIONINE	<a href='http://www.hmdb.ca/metabolites/HMDB01185'>HMDB01185</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a>
PHENYLACETONITRILE	<a href='http://www.hmdb.ca/metabolites/HMDB34171'>HMDB34171</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16074'>C16074</a>
CPD-9035	<a href='http://www.hmdb.ca/metabolites/HMDB29430'>HMDB29430</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03510'>C03510</a>
CPD-1074	<a href='http://www.hmdb.ca/metabolites/HMDB29757'>HMDB29757</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03766'>C03766</a>
CPD0-2554		
CPD-7970		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11164'>C11164</a>
CPD-463		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05324'>C05324</a>
CPD-19830		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11040'>C11040</a>
CPD0-1442		
CPD-19250		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21329'>C21329</a>
CPD-18649		
CPD-14673	<a href='http://www.hmdb.ca/metabolites/HMDB34236'>HMDB34236</a>	
CPD0-1377		
CPD-12596		
CPD-17175		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21514'>C21514</a>
CPD0-1031		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11037'>C11037</a>
CPD0-1335		
CPD-20967		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02596'>C02596</a>
CPD-12352		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20410'>C20410</a>
CPD-8269		
CPD-8270		
CPD-11715	<a href='http://www.hmdb.ca/metabolites/HMDB00821'>HMDB00821</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05598'>C05598</a>
CPD-8272		
S-TUBERCIDINYLHOMOCYSTEINE		
CPD-8271	<a href='http://www.hmdb.ca/metabolites/HMDB31092'>HMDB31092</a>	
CPD0-1565		
CPD-22701		
CPD-18753		
CPD-11230		
L-BETA-ASPARTYL-P	<a href='http://www.hmdb.ca/metabolites/HMDB12250'>HMDB12250</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03082'>C03082</a>
CPD0-1386		
CPD-20534		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07143'>C07143</a>
CPD-670		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01162'>C01162</a>
CPD-7051	<a href='http://www.hmdb.ca/metabolites/HMDB14969'>HMDB14969</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07168'>C07168</a>
CPD-21992		
CPD-10433	<a href='http://www.hmdb.ca/metabolites/HMDB14577'>HMDB14577</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07403'>C07403</a>
CPD-17186		
CPD-20531		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D00373'>D00373</a>
CPD-11227		
CPD-8406		
INDOLE-3-ACETYL-GLU	<a href='http://www.hmdb.ca/metabolites/HMDB38665'>HMDB38665</a>	
CPD-20230		
CPD-9602		
CPD-20226		
CPD-312		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03790'>C03790</a>
RENILLA-LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00982'>C00982</a>
CPD-21777		
CPD-20266		
CPD-16653		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20983'>C20983</a>
CPD-20234		
INDOLE-3-ACETYL-ALA		
CPD-20231		
CPD-9584		
CPD-20228		
CPD-308		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01682'>C01682</a>
LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02894'>C02894</a>
CPD-15494		
CPD-20237		
CPD-13774		
CPD-20232		
3-O-BETA-GLUCOSYL-2-OXINDOLE-3-ACETYL-	<a href='http://www.hmdb.ca/metabolites/HMDB39409'>HMDB39409</a>	
CPD-20229		
TRIFLUOROMETHIONINE		
CPD-20222		
CPD0-1627		
OPLOPHORUS-LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15037'>C15037</a>
CPD-9577		
CPD-20238		
CPD-24750		
CPD-20233		
CPD-19544		
CPD-15036		
CPD-12025		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05690'>C05690</a>
CPD-12565		
2-AMINOMALONATE-SEMIALDEHYDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11822'>C11822</a>
CPD-12526		
SACCHAROPINE	<a href='http://www.hmdb.ca/metabolites/HMDB00279'>HMDB00279</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00449'>C00449</a>
CPD-12567		
CPD0-1566		
CPD-12527		
CPD-8569		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03317'>C03317</a>
CPD-12516	<a href='http://www.hmdb.ca/metabolites/HMDB00781'>HMDB00781</a>	
CPD-23033		
CPD-13665	<a href='http://www.hmdb.ca/metabolites/HMDB00814'>HMDB00814</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04132'>C04132</a>
CPD-18935		
CPD-12544		
CPD-11231		
CPD-12518		
S-CARBOXYMETHYL-D-CYSTEINE		
CPD0-1480		
CPD-673		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02703'>C02703</a>
CPD-22142		
CPD-11228		
INDOLE-3-ACETYL-LEU		
CPD-9603		
CPD-564		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03539'>C03539</a>
CPD-21790		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18619'>C18619</a>
CPD-16876		
CPD-1061		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04211'>C04211</a>
INDOLE-3-ACETYL-ASP		
CPD-9595		
CPD-310	<a href='http://www.hmdb.ca/metabolites/HMDB33747'>HMDB33747</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03210'>C03210</a>
CPD-21619		
CPD-15507		
CPD-19672		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15957'>C15957</a>
3-URACIL-1-YL-L-SERINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03584'>C03584</a>
CPD-19673		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15958'>C15958</a>
CPD0-925		
CPD-19671		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15956'>C15956</a>
CPD-9582		
CPD-18605		
CPD-24751		
CPD-19642		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08291'>C08291</a>
CPD-9065		
CPD-13939		
CPD-18888		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11243'>C11243</a>
CPD-12185	<a href='http://www.hmdb.ca/metabolites/HMDB00745'>HMDB00745</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00884'>C00884</a>
CPD-9091		
2-OXINDOLE-3-ACETYL-ASP		
CPD-18889		
