Compound	HMDB	Kegg
CPD-8658	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29406</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08537</a>
CPD-17083		
CPD-22270		
CPD-20030		
CPD-20729		
CPD-17428		
CPD-16783		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21370</a>
CPD-22152		
CPD-14833		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20297</a>
CPD-22151		
CPD-14511		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19983</a>
CPD-13928		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20233</a>
CPD-18736		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21142</a>
CPD-11850		
CPD-15912		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21874</a>
CPD-9425	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30285</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06523</a>
CPD-15909		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10641</a>
CPD-8924		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20712</a>
CPD-18762		
CPD-8655		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08544</a>
CPD-15913		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21331</a>
CPD-21507		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09593</a>
CPD-15910		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21140</a>
CPD-20725		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09457</a>
CPD-7733		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21330</a>
CPD-17911		
CPD-18733		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21141</a>
CPD-17393		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22171</a>
CPD-15911		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21875</a>
CPD-15937		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09555</a>
CPD-15906		
CPD-14830		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21589</a>
CPD-14468	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30202</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20436</a>
CPD-24833		
CPD-12845		
CPD-24832		
CPD-11688		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12344</a>
R-NICOTINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14330</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16386</a>
CPD-9835	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30282</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11379</a>
CPD-9327	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12309</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16666</a>
CPD-8890		
CPD-22989		
CPD-21444		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12454</a>
CPD-19604		
CPD-17886		
CPD-17390		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22167</a>
CPD-14817		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09421</a>
CPD-14465		
CPD-12364		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07541</a>
ALPHA-CYCLOPIAZONATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03032</a>
CPD-9953		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08300</a>
CPD-9826		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16726</a>
CPD-9215	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30321</a>	
CPD-8757		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17754</a>
CPD-22868		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11360</a>
CPD-21277		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16641</a>
CPD-18646		
CPD-17777		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10212</a>
CPD-17881		
CPD-17771		
CPD-17380		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22163</a>
CPD-8949	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB39265</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10224</a>
CPD-15741		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09558</a>
CPD-17779		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10211</a>
CPD-14814		
CPD-17772		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10236</a>
CPD-14460		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20457</a>
CPD-8950		
CPD-12358		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06068</a>
CPD-17780	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34097</a>	
CPD-9940	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30311</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06538</a>
CPD-17776		
CPD-9788		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16709</a>
CPD-17770	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31457</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10219</a>
CPD-9210		
CPD-17781	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31746</a>	
CPD-8672	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12220</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17753</a>
CPD-14307		
CPD-22280		
CPD-14308		
CPD-21274		
R-NORCOCLAURINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06347</a>
CPD-17432		
S-NORCOCLAURINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33103</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06160</a>
CPD-17338		
CPD-16900		
CPD-15043		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16725</a>
CPD-14880		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13050</a>
CPD-14544		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16710</a>
ADENOSINE_DIPHOSPHATE_RIBOSE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01178</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00301</a>
CPD-14457	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15383</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07543</a>
CPD-15008		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20742</a>
CPD-12317	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04350</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06180</a>
CPD-10699		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01201</a>
CPD-9936		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09581</a>
CPD-861	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06336</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03246</a>
CPD-9785	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15466</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07592</a>
CPD-10794		
CPD-9180	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36326</a>	
CPD-9007		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19851</a>
CPD-8659		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08557</a>
CPD-22271		
CPD-20957		
ADP-L-GLYCERO-D-MANNO-HEPTOSE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06398</a>
CPD-17429		
ADP-MANNOSE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06369</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06192</a>
CPD-16986		
ADP-D-GLUCOSE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06557</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00498</a>
CPD-16870	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33524</a>	
ADP-D-GLYCERO-D-MANNO-HEPTOSE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29952</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06397</a>
CPD-14834	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33439</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09592</a>
CPD-14512	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33364</a>	
CPD-14076		
CPD-12575	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00286</a> // <a href='http://www.hmdb.ca/metabolites/~A'>HMDB60079</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00029</a>
CPD-11852		
CPD-20821		
CPD-9851		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16735</a>
CPD-9426		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10159</a>
CPD-16005		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20745</a>
CPD-8925		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06511</a>
CPD-16006		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20744</a>
CPD-8656		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17751</a>
